,0
0,15
1,34
2,40
3,27
4,11
5,64
6,53
7,30
8,32
9,49
10,5
11,10
12,26
13,5
14,57
15,32
16,31
17,32
18,27
19,17
20,27
21,56
22,27
23,37
24,38
25,44
26,41
27,26
28,51
29,10
30,68
31,0
32,24
33,14
34,34
35,5
36,43
37,22
38,33
39,52
40,24
41,41
42,22
43,58
44,7
45,62
46,44
47,26
48,16
49,28
50,23
51,37
52,12
53,57
54,31
55,4
56,30
57,80
58,1
59,31
60,10
61,40
62,11
63,29
64,21
65,6
66,33
67,42
68,18
69,9
70,62
71,22
72,10
73,6
74,21
75,31
76,74
77,48
78,16
79,13
80,25
81,19
82,47
83,54
84,31
85,19
86,17
87,23
88,29
89,29
90,12
91,21
92,36
93,29
94,40
95,13
96,23
97,13
98,64
99,21
