,Scores,Card,Loss
0,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884A510>,
1,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884A970>,"tf.Tensor(34.72383, shape=(), dtype=float32)"
2,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884AB30>,"tf.Tensor(51.21922, shape=(), dtype=float32)"
3,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884ACF0>,"tf.Tensor(52.763523, shape=(), dtype=float32)"
4,47,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884A9E0>,"tf.Tensor(55.00415, shape=(), dtype=float32)"
5,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884AF20>,"tf.Tensor(46.08757, shape=(), dtype=float32)"
6,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884AF90>,"tf.Tensor(88.850296, shape=(), dtype=float32)"
7,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F884AE40>,"tf.Tensor(77.93767, shape=(), dtype=float32)"
8,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F8977040>,"tf.Tensor(50.77677, shape=(), dtype=float32)"
9,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F8977120>,"tf.Tensor(45.39589, shape=(), dtype=float32)"
10,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F8977190>,"tf.Tensor(99.17463, shape=(), dtype=float32)"
11,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F8977200>,"tf.Tensor(113.976074, shape=(), dtype=float32)"
12,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F8977350>,"tf.Tensor(46.47889, shape=(), dtype=float32)"
13,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F89773C0>,"tf.Tensor(128.73975, shape=(), dtype=float32)"
14,58,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F89770B0>,"tf.Tensor(122.490204, shape=(), dtype=float32)"
15,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000256F8977430>,"tf.Tensor(99.041245, shape=(), dtype=float32)"
